2h,20h,40h,60h,material,heatsink,StableOrNot
1.0001,0.99878,0.99827,0.99424,2,0,0
1.0001,0.99887,0.99936,1.003,1,0,1
1.0001,0.9995,1.0097,1.0006,1,1,1
1.0001,0.9988,0.99962,0.99753,2,1,0
1.0001,0.99922,0.99904,1.0042,1,1,1
1.0027,1.0014,1.0023,0.99949,1,1,1
1.0001,0.99881,0.99874,0.99522,2,0,0
1.0001,0.99886,1.001,0.99964,2,0,0
1.0001,0.99905,1.0059,1.003,1,1,1
1.0023,0.99005,0.99018,0.99018,2,0,0
1.0026,0.99508,1.0029,1.003,1,1,1
1.0001,0.99894,0.99471,1.0043,1,1,1
1.0001,0.999,0.99993,0.99695,2,0,0
1.0001,0.99855,0.99302,0.99022,2,0,0
1.0001,0.99869,0.99596,0.99222,2,0,0
1.0001,0.99858,0.99582,0.99498,2,0,0
1.0001,0.99858,0.99507,0.99082,2,0,0
1.0027,0.9928,0.99586,0.98999,2,0,0
1.0001,0.99866,0.99445,0.99254,2,0,0
1.0026,0.99505,0.99745,0.99346,2,0,0
1.0001,0.99905,1.0039,1.0005,1,0,0
1.0001,0.99851,0.99336,0.98961,2,0,0
1.0024,0.99538,0.99881,0.99849,2,0,0
1.0026,0.99442,0.999,0.99504,2,1,0
1.0001,0.99898,1.002,0.9946,2,0,0
1.0024,0.99102,0.99564,0.98934,2,0,0
1.0001,0.99928,1.0045,1.0017,2,0,0
1.0026,0.99194,0.99183,0.98572,2,0,0
1.0025,0.99576,0.99793,0.9922,2,0,0
1.0001,0.9991,0.99963,1.0024,1,1,1
1.0023,0.98721,0.99013,0.99228,2,0,0
1.0001,0.99902,0.99617,1.0033,1,1,1
1.0001,0.99967,1.0143,0.99742,1,1,1
1.0001,0.99869,0.9912,0.9945,2,0,0
1.0001,0.99893,1.0012,0.99272,2,0,0
1.0001,0.99933,1.0079,1.0033,1,1,1
1.0027,0.9988,1.0069,1.006,2,1,1
1.0025,0.99715,0.99789,0.99665,2,0,0
1.0027,0.99716,0.99852,0.99671,2,0,0
1.0001,0.9988,0.99639,0.99216,2,0,0
1.0001,0.99906,0.99534,1.0018,1,1,1
1.0001,0.99855,0.99307,0.99028,2,0,0
1.0024,0.99302,0.99606,0.9942,1,0,0
1.0024,0.99669,0.99844,0.99596,2,0,0
1.0001,0.99932,1.0085,1.0001,2,1,1
1.0023,0.98951,0.9898,0.98489,2,0,0
1.0001,0.9994,1.0078,1.0004,1,1,1
1.0001,0.99882,0.99422,1.0026,1,1,1
1.0024,0.99094,0.99048,0.98399,2,0,0
1.0001,0.99979,1.0069,1.0044,1,1,1
1.0023,0.99349,0.99453,0.99222,2,0,0
1.0001,0.99921,1.0035,0.9977,2,0,0
1.0001,0.99853,0.98864,0.99082,2,0,0
1.0001,0.99853,0.98702,0.9993,1,1,1
1.0023,0.99428,0.99639,0.99967,2,0,0
1.0001,0.99916,1.0035,1.0027,1,1,1
1.0024,0.98936,0.98827,0.98538,2,0,0
1.0001,0.99931,0.99899,1.0045,1,1,1
1.0027,0.99564,1.0011,0.99701,2,0,0
1.0024,0.9922,0.9906,0.98408,2,0,0
1.0024,0.99387,1.0025,1.0029,1,1,1
1.0001,0.99854,0.98846,0.99306,2,0,0
1.0001,0.99856,0.99105,0.99443,2,0,0
1.0001,0.99857,0.99577,0.99711,2,0,0
1.0025,0.98976,0.98665,0.98525,2,0,0
1.0001,0.99917,1.0069,1.003,1,1,1
1.0023,0.99422,0.99483,0.98928,2,0,0
1.0024,0.99219,0.99193,0.9862,2,0,0
1.0023,0.99426,1.0003,0.99733,1,1,1
1.0001,0.99917,1.0005,1.0033,1,1,1
1.0028,0.99513,0.99832,0.99406,2,1,0
1.0028,0.99526,0.99532,0.99507,2,0,0
1.0001,0.99892,0.99824,0.99832,2,1,0
1.0001,0.99869,0.99555,0.99042,2,0,0
1.0001,0.99909,0.99759,1.0012,2,1,1
1.0028,0.99882,0.9999,0.99484,2,1,0
1.0025,0.99797,1.0015,0.99959,2,1,1
1.0001,0.99866,0.99818,0.99433,2,0,0
1.0026,0.99243,0.9967,0.99165,2,0,0
1.0029,1.0013,1.0084,1.0035,1,1,1
1.0024,0.99436,0.99508,0.99551,2,0,0
1.0001,0.99931,0.99714,1.0046,1,1,1
1.0024,0.99649,0.99979,0.99528,2,0,0
1.0001,0.9989,0.99406,1.0031,1,0,1
1.0001,0.99922,1.0058,1.0024,1,1,1
1.0023,0.99346,0.99714,1.0003,1,1,1
1.0025,0.99311,1.0006,0.99418,2,0,0
