,n,k
366,0.8,0.9
367,0.8,1.0
368,0.8,1.1
369,0.8,1.2000000000000002
370,0.8,1.3
371,0.8,1.4000000000000001
372,0.8,1.5
373,0.8,1.6
374,0.8,1.7000000000000002
375,0.8,1.8
376,0.8,1.9000000000000001
377,0.8,2.0
378,0.8,2.1
379,0.8,2.2
380,0.8,2.3000000000000003
381,0.8,2.4000000000000004
382,0.8,2.5
383,0.8,2.6
384,0.8,2.7
385,0.8,2.8000000000000003
386,0.8,2.9000000000000004
387,0.8,3.0
388,0.8,3.1
389,0.8,3.2
390,0.8,3.3000000000000003
391,0.8,3.4000000000000004
392,0.8,3.5
393,0.8,3.6
394,0.8,3.7
395,0.8,3.8000000000000003
396,0.8,3.9000000000000004
397,0.8,4.0
398,0.8,4.1000000000000005
399,0.8,4.2
400,0.8,4.3
401,0.8,4.4
402,0.8,4.5
403,0.8,4.6000000000000005
404,0.8,4.7
405,0.8,4.800000000000001
406,0.8,4.9
407,0.8,5.0
408,0.9,0.0
409,0.9,0.1
410,0.9,0.2
411,0.9,0.30000000000000004
412,0.9,0.4
413,0.9,0.5
414,0.9,0.6000000000000001
415,0.9,0.7000000000000001
416,0.9,0.8
417,0.9,0.9
418,0.9,1.0
419,0.9,1.1
420,0.9,1.2000000000000002
421,0.9,1.3
422,0.9,1.4000000000000001
423,0.9,1.5
424,0.9,1.6
425,0.9,1.7000000000000002
426,0.9,1.8
427,0.9,1.9000000000000001
428,0.9,2.0
429,0.9,2.1
430,0.9,2.2
431,0.9,2.3000000000000003
432,0.9,2.4000000000000004
433,0.9,2.5
434,0.9,2.6
435,0.9,2.7
436,0.9,2.8000000000000003
437,0.9,2.9000000000000004
438,0.9,3.0
439,0.9,3.1
440,0.9,3.2
441,0.9,3.3000000000000003
442,0.9,3.4000000000000004
443,0.9,3.5
444,0.9,3.6
445,0.9,3.7
446,0.9,3.8000000000000003
447,0.9,3.9000000000000004
448,0.9,4.0
449,0.9,4.1000000000000005
450,0.9,4.2
451,0.9,4.3
452,0.9,4.4
453,0.9,4.5
454,0.9,4.6000000000000005
455,0.9,4.7
456,0.9,4.800000000000001
457,0.9,4.9
458,0.9,5.0
459,1.0,0.0
460,1.0,0.1
461,1.0,0.2
462,1.0,0.30000000000000004
463,1.0,0.4
464,1.0,0.5
465,1.0,0.6000000000000001
466,1.0,0.7000000000000001
467,1.0,0.8
468,1.0,0.9
469,1.0,1.0
470,1.0,1.1
471,1.0,1.2000000000000002
472,1.0,1.3
473,1.0,1.4000000000000001
474,1.0,1.5
475,1.0,1.6
476,1.0,1.7000000000000002
477,1.0,1.8
478,1.0,1.9000000000000001
479,1.0,2.0
480,1.0,2.1
481,1.0,2.2
482,1.0,2.3000000000000003
483,1.0,2.4000000000000004
484,1.0,2.5
485,1.0,2.6
486,1.0,2.7
487,1.0,2.8000000000000003
488,1.0,2.9000000000000004
489,1.0,3.0
490,1.0,3.1
491,1.0,3.2
492,1.0,3.3000000000000003
493,1.0,3.4000000000000004
494,1.0,3.5
495,1.0,3.6
496,1.0,3.7
497,1.0,3.8000000000000003
498,1.0,3.9000000000000004
499,1.0,4.0
500,1.0,4.1000000000000005
501,1.0,4.2
502,1.0,4.3
503,1.0,4.4
504,1.0,4.5
505,1.0,4.6000000000000005
506,1.0,4.7
507,1.0,4.800000000000001
508,1.0,4.9
509,1.0,5.0
510,1.1,0.0
511,1.1,0.1
512,1.1,0.2
513,1.1,0.30000000000000004
514,1.1,0.4
515,1.1,0.5
516,1.1,0.6000000000000001
517,1.1,0.7000000000000001
518,1.1,0.8
519,1.1,0.9
520,1.1,1.0
521,1.1,1.1
522,1.1,1.2000000000000002
523,1.1,1.3
524,1.1,1.4000000000000001
525,1.1,1.5
526,1.1,1.6
527,1.1,1.7000000000000002
528,1.1,1.8
529,1.1,1.9000000000000001
530,1.1,2.0
531,1.1,2.1
532,1.1,2.2
533,1.1,2.3000000000000003
534,1.1,2.4000000000000004
535,1.1,2.5
536,1.1,2.6
537,1.1,2.7
538,1.1,2.8000000000000003
539,1.1,2.9000000000000004
540,1.1,3.0
541,1.1,3.1
542,1.1,3.2
543,1.1,3.3000000000000003
544,1.1,3.4000000000000004
545,1.1,3.5
546,1.1,3.6
547,1.1,3.7
548,1.1,3.8000000000000003
549,1.1,3.9000000000000004
550,1.1,4.0
551,1.1,4.1000000000000005
552,1.1,4.2
553,1.1,4.3
554,1.1,4.4
555,1.1,4.5
556,1.1,4.6000000000000005
557,1.1,4.7
558,1.1,4.800000000000001
559,1.1,4.9
560,1.1,5.0
561,1.2000000000000002,0.0
562,1.2000000000000002,0.1
563,1.2000000000000002,0.2
564,1.2000000000000002,0.30000000000000004
565,1.2000000000000002,0.4
566,1.2000000000000002,0.5
567,1.2000000000000002,0.6000000000000001
568,1.2000000000000002,0.7000000000000001
569,1.2000000000000002,0.8
570,1.2000000000000002,0.9
571,1.2000000000000002,1.0
572,1.2000000000000002,1.1
573,1.2000000000000002,1.2000000000000002
574,1.2000000000000002,1.3
575,1.2000000000000002,1.4000000000000001
576,1.2000000000000002,1.5
577,1.2000000000000002,1.6
578,1.2000000000000002,1.7000000000000002
579,1.2000000000000002,1.8
580,1.2000000000000002,1.9000000000000001
581,1.2000000000000002,2.0
582,1.2000000000000002,2.1
583,1.2000000000000002,2.2
584,1.2000000000000002,2.3000000000000003
585,1.2000000000000002,2.4000000000000004
586,1.2000000000000002,2.5
587,1.2000000000000002,2.6
588,1.2000000000000002,2.7
589,1.2000000000000002,2.8000000000000003
590,1.2000000000000002,2.9000000000000004
591,1.2000000000000002,3.0
592,1.2000000000000002,3.1
593,1.2000000000000002,3.2
594,1.2000000000000002,3.3000000000000003
595,1.2000000000000002,3.4000000000000004
596,1.2000000000000002,3.5
597,1.2000000000000002,3.6
598,1.2000000000000002,3.7
