neff,"Aeff
(um^2)","dispersion
(ps/km.nm)","conf-loss
(dB/cm)"
1.41379,0.745113,285.668,2.76E-17
1.41881,0.730161,284.981,1.67E-18
1.42319,0.717076,283.177,1.20E-19
1.42703,0.705525,280.59,1.84E-22
1.43042,0.695252,277.461,3.54E-20
1.43342,0.686055,273.953,4.56E-21
1.4361,0.677773,270.194,3.59E-20
1.43849,0.670275,266.273,2.13E-20
1.44064,0.663454,262.254,6.33E-20
1.28436,1.79941,125.211,0.000667281
1.31619,1.56111,42.2593,8.48E-06
1.34104,1.41346,131.42,1.24E-07
1.36055,1.31245,181.641,2.09E-09
1.37605,1.23866,210.028,4.03E-11
1.38852,1.18222,225.844,8.83E-13
1.39869,1.13757,234.179,2.18E-14
1.40708,1.10131,237.921,6.00E-16
1.41408,1.07125,238.768,1.84E-17
1.41997,1.04592,237.761,6.14E-19
1.42498,1.02428,235.55,3.44E-20
1.42928,1.00556,232.561,1.58E-20
1.43299,0.989208,229.073,1.97E-20
1.43622,0.974803,225.272,2.68E-21
1.43904,0.962013,221.29,2.38E-20
1.44152,0.95058,217.217,7.46E-21
1.44372,0.940297,213.112,1.17E-20
1.44567,0.930998,209.021,3.62E-22
1.44742,0.922548,204.978,2.42E-21
1.44898,0.914835,200.999,4.97E-21
1.32207,2.07291,48.1583,2.84E-06
1.34905,1.86498,135.251,2.13E-08
1.36948,1.72725,173.367,1.95E-10
1.38524,1.6288,192.639,2.13E-12
1.3976,1.55469,201.849,2.75E-14
1.40745,1.49678,205.438,4.13E-16
1.41543,1.45024,205.774,7.15E-18
1.42198,1.41198,204.178,1.47E-19
1.42742,1.37997,201.427,1.64E-20
1.43199,1.35279,197.987,1.68E-21
1.43586,1.32941,194.147,1.05E-20
1.43917,1.30908,190.098,3.53E-20
1.44203,1.29125,185.957,4.36E-20
1.4445,1.27548,181.804,6.39E-21
1.44666,1.26143,177.689,1.83E-22
1.44856,1.24883,173.649,1.68E-21
1.45024,1.23748,169.703,1.25E-20
1.45173,1.22718,165.864,3.87E-22
1.45305,1.2178,162.14,5.34E-21
1.45424,1.20923,158.537,2.47E-22
1.35006,2.42658,111.512,1.50E-08
1.37273,2.22913,158.4,7.17E-11
1.38964,2.09305,173.97,4.31E-13
1.40252,1.99324,180.148,3.19E-15
1.41256,1.91675,181.452,2.88E-17
1.42052,1.85619,180.132,3.26E-19
1.42694,1.80704,177.364,5.01E-21
1.43218,1.76634,173.805,4.88E-20
1.43653,1.73207,169.831,5.06E-20
1.44017,1.70281,165.666,3.44E-21
1.44325,1.67755,161.448,6.36E-21
1.44587,1.65551,157.257,1.07E-20
1.44813,1.63611,153.148,4.11E-21
1.45009,1.61891,149.148,1.23E-21
1.4518,1.60354,145.276,1.97E-21
1.45329,1.58973,141.54,4.34E-21
1.45461,1.57726,137.947,4.36E-21
1.45579,1.56593,134.493,5.34E-22
1.45683,1.55559,131.179,3.76E-21
1.45776,1.54612,127.999,7.23E-22
1.37107,2.84045,130.355,1.00E-10
1.39023,2.64472,156.896,3.15E-13
1.40436,2.50642,161.982,1.29E-15
1.41507,2.40329,162.228,6.80E-18
1.42336,2.32334,160.065,2.72E-20
1.42991,2.25952,156.691,6.48E-21
1.43517,2.20737,152.723,2.10E-20
1.43947,2.16396,148.498,3.32E-20
1.44302,2.12727,144.21,1.28E-20
1.44598,2.09584,139.962,1.21E-20
1.44849,2.06862,135.818,1.46E-21
1.45062,2.04481,131.811,3.41E-21
1.45245,2.02381,127.957,4.00E-23
1.45404,2.00516,124.265,3.33E-22
1.45542,1.98847,120.737,2.90E-21
1.45663,1.97345,117.369,5.05E-22
1.4577,1.95986,114.156,6.28E-22
1.45864,1.9475,111.092,3.65E-21
1.45948,1.93621,108.171,2.99E-21
1.46024,1.92586,105.383,7.38E-22
1.38707,3.30406,131.717,8.18E-13
1.40342,3.10603,147.308,1.74E-15
1.41539,2.96378,147.22,5.04E-18
1.42442,2.85652,144.628,4.25E-20
1.43138,2.77271,140.893,1.52E-20
1.43686,2.70541,136.669,3.21E-20
1.44126,2.65019,132.292,3.77E-21
1.44484,2.60406,127.934,1.68E-20
1.44779,2.56496,123.683,1.60E-20
1.45026,2.53139,119.591,4.96E-22
1.45233,2.50227,115.678,5.55E-21
1.4541,2.47676,111.951,7.02E-22
1.45562,2.45424,108.413,3.52E-22
1.45693,2.4342,105.055,5.35E-21
1.45807,2.41627,101.873,3.60E-21
1.45907,2.40012,98.8555,6.25E-21
1.45995,2.3855,95.9937,2.27E-21
1.46073,2.37221,93.2814,5.22E-22
1.46142,2.36006,90.7045,2.26E-21
1.46204,2.34893,88.2571,1.97E-22
1.33418,5.0249,457.994,155.015
1.34653,2.81363,502.289,46.1727
1.35866,1.96006,432.099,11.3387
1.37008,1.55828,314.841,2.56622
1.38044,1.33372,198.731,0.575763
1.38965,1.19244,101.214,0.132934
1.39773,1.09609,24.5121,0.0323678
1.40479,1.02642,34.0942,0.00843769
1.41095,0.97377,78.2568,2.37E-03
1.41634,0.932557,111.311,7.17E-04
1.42105,0.899382,135.952,2.33E-04
1.4252,0.872059,154.254,8.13E-05
1.42886,0.84913,167.781,3.02E-05
1.4321,0.829586,177.696,1.20E-05
1.43498,0.812704,184.869,5.01E-06
1.43755,0.797961,189.944,2.21E-06
1.43985,0.78496,193.406,1.03E-06
1.44192,0.773402,195.622,5.01E-07
1.44378,0.76305,196.867,2.55E-07
1.34427,4.65798,403.957,46.1629
1.35948,2.98236,339.042,8.08163
1.37353,2.29658,218.501,1.25304
1.38585,1.94467,109.02,0.195741
1.39638,1.73494,25.8651,0.0328758
1.40528,1.59689,33.6097,0.00611591
1.41279,1.4994,75.18,0.00127408
1.41914,1.42683,103.958,0.00029753
1.42454,1.37062,123.761,7.76E-05
1.42914,1.32569,137.286,2.24E-05
1.4331,1.28889,146.401,7.16E-06
1.43653,1.25814,152.389,2.50E-06
1.4395,1.23202,156.141,9.45E-07
1.4421,1.20954,158.28,3.85E-07
1.44439,1.18996,159.244,1.68E-07
1.44641,1.17275,159.35,7.84E-08
1.44821,1.1575,158.822,3.86E-08
1.44981,1.14388,157.828,2.00E-08
1.45124,1.13163,156.488,1.08E-08
1.45252,1.12057,154.896,6.14E-09
1.36595,3.72942,238.117,2.81161
1.38171,2.93302,118.1,0.294626
1.39488,2.52705,28.3275,0.0335972
1.40566,2.28501,32.002,0.00443807
1.41445,2.12498,71.1177,0.000690602
1.42164,2.01118,96.1526,0.00012642
1.42757,1.92587,112.027,2.70E-05
1.43251,1.85933,121.939,6.65E-06
1.43665,1.80584,127.925,1.86E-06
1.44015,1.76182,131.295,5.88E-07
1.44313,1.72489,132.896,2.06E-07
1.4457,1.69344,133.285,7.95E-08
1.44792,1.6663,132.842,3.34E-08
1.44985,1.64264,131.82,1.51E-08
1.45154,1.6218,130.401,7.29E-09
1.45303,1.60331,128.707,3.74E-09
1.45434,1.58678,126.827,2.02E-09
1.45552,1.57192,124.829,1.14E-09
1.45656,1.55847,122.758,6.75E-10
1.4575,1.54625,120.648,4.13E-10
1.38476,3.83928,84.6273,0.153548
1.39925,3.29287,0.365132,0.0127562
1.41069,2.97881,49.0198,0.00131023
1.41973,2.77527,78.4024,0.000168353
1.42692,2.63216,95.6583,2.68E-05
1.43272,2.52562,105.594,5.19E-06
1.43744,2.44292,111.051,1.20E-06
1.44134,2.37669,113.719,3.24E-07
1.44458,2.32235,114.619,1.01E-07
1.44731,2.27688,114.382,3.54E-08
1.44963,2.23825,113.408,1.38E-08
1.45161,2.20499,111.956,5.91E-09
1.45332,2.17604,110.198,2.74E-09
1.4548,2.1506,108.249,1.36E-09
1.4561,2.12805,106.187,7.18E-10
1.45724,2.10793,104.067,4.00E-10
1.45824,2.08986,101.928,2.33E-10
1.45913,2.07353,99.7955,1.42E-10
1.45993,2.0587,97.6863,8.93E-11
1.46064,2.04517,95.6145,5.80E-11
1.39981,4.27767,1.61202,0.0100458
1.41255,3.83284,50.0932,0.000766403
1.42229,3.55696,75.6224,7.82E-05
1.42982,3.3683,89.3518,1.05E-05
1.43575,3.23047,96.4493,1.80E-06
1.44047,3.12495,99.7425,3.83E-07
1.4443,3.04135,100.8,9.82E-08
1.44743,2.97336,100.514,2.96E-08
1.45003,2.91691,99.4161,1.02E-08
1.45221,2.86925,97.825,3.99E-09
1.45406,2.82845,95.9404,1.72E-09
1.45563,2.79311,93.8906,8.05E-10
1.45699,2.76219,91.7588,4.06E-10
1.45816,2.73491,89.599,2.18E-10
1.45918,2.71065,87.4481,1.24E-10
1.46008,2.68892,85.3274,7.35E-11
1.46087,2.66936,83.2546,4.55E-11
1.46158,2.65164,81.237,2.92E-11
1.4622,2.63551,79.2811,1.93E-11
1.46276,2.62077,77.3908,1.32E-11
1.41161,4.892,37.6804,0.000836488
1.42264,4.49403,68.8867,0.000063767
1.43091,4.23409,81.6006,6.86E-06
1.43724,4.04992,87.5018,1.00E-06
1.44217,3.91201,89.7577,1.90E-07
1.44608,3.80458,89.9999,4.51E-08
1.44923,3.71839,89.1062,1.29E-08
1.4518,3.64761,87.5706,4.34E-09
1.45393,3.58843,85.6777,1.66E-09
1.4557,3.53818,83.5976,7.08E-10
1.45721,3.49496,81.4329,3.31E-10
1.45848,3.4574,79.2511,1.68E-10
1.45958,3.42444,77.0908,9.05E-11
1.46053,3.39528,74.9756,5.17E-11
1.46136,3.3693,72.9235,3.10E-11
1.46209,3.34601,70.9403,1.94E-11
1.46273,3.32499,69.032,1.26E-11
1.46329,3.30594,67.1995,8.43E-12
1.4638,3.28859,65.4418,5.81E-12
1.46425,3.27272,63.7576,4.11E-12
1.42079,5.62273,54.6361,9.13E-05
1.43034,5.24666,73.703,7.31E-06
1.43742,4.99195,79.5332,8.57E-07
1.44278,4.80703,81.4156,1.39E-07
1.44694,4.66621,81.2701,2.94E-08
1.45022,4.55519,80.0584,7.78E-09
1.45286,4.46531,78.2856,2.47E-09
1.45501,4.391,76.231,9.10E-10
1.45678,4.32851,74.053,3.79E-10
1.45825,4.27522,71.8437,1.75E-10
1.4595,4.22922,69.6565,8.75E-11
1.46056,4.18911,67.5243,4.70E-11
1.46147,4.15382,65.4639,2.68E-11
1.46226,4.12252,63.4832,1.61E-11
1.46294,4.09458,61.5887,1.01E-11
1.46354,4.06947,59.7799,6.58E-12
1.46406,4.04679,58.0559,4.43E-12
1.46453,4.0262,56.4126,3.07E-12
1.46495,4.00741,54.8488,2.19E-12
1.46532,3.99021,53.3584,1.59E-12
1.27882,4.42229,667.351,61.27
1.29642,2.4102,728.993,8.27376
1.31464,1.67653,586.632,0.766277
1.33194,1.33156,397.929,0.0611237
1.34753,1.13874,230.017,0.00489187
1.36118,1.01788,98.2054,0.000415609
1.373,0.935633,0.0766357,3.84E-05
1.38318,0.876121,71.3026,3.93E-06
1.39194,0.831,122.755,4.47E-07
1.39951,0.795531,159.737,5.67E-08
1.40608,0.766849,186.287,8.00E-09
1.41179,0.743126,205.304,1.25E-09
1.41679,0.723144,218.847,2.15E-10
1.42118,0.706059,228.374,4.06E-11
1.42506,0.691266,234.927,8.37E-12
1.4285,0.678323,239.257,1.88E-12
1.43156,0.666895,241.906,4.56E-13
1.43431,0.656724,243.279,1.20E-13
1.43676,0.647611,243.672,3.37E-14
1.43898,0.639394,243.313,1.02E-14
1.3114,2.75203,493.77,0.932167
1.33312,2.04982,306.305,0.0398205
1.35214,1.70791,144.621,0.0017029
1.36818,1.51069,28.3336,8.18E-05
1.3815,1.38324,50.4322,4.59E-06
1.39256,1.29402,102.719,3.03E-07
1.40176,1.22787,137.241,2.37E-08
1.40948,1.17669,159.991,2.17E-09
1.41598,1.1358,174.891,2.32E-10
1.42152,1.10231,184.489,2.87E-11
1.42626,1.07434,190.455,4.08E-12
1.43034,1.0506,193.893,6.61E-13
1.43388,1.03018,195.545,1.21E-13
1.43698,1.01242,195.921,2.49E-14
1.43969,0.996826,195.383,5.70E-15
1.44209,0.983022,194.182,1.44E-15
1.44422,0.970711,192.5,4.00E-16
